"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"València";"Algemesí";"Algemesí";"3";"2018";"13,68";"20,47";"19,94";"28,98";"8,43";"7,8";"0,21";"53,64";"85";"83,15";"96,6";"35,5";"29,34";"14,84";"5,07";"14,25";"O";"43,38";"86,92";"2,8";"5,04";"1,51";"14,96";"9,63";"36,5";"21,41";"5,45";"31";"Sin incidencias"
"València";"Algimia de Alfara";"Algimia de Alfara";"3";"2018";"13,06";"19,88";"18,86";"29,2";"8,54";"7,2";"1,63";"51,38";"84,4";"77,97";"96,6";"31,63";"29,79";"12,3";"6,67";"14,94";"O";"40,43";"96,05";"3,1";"4,81";"1,39";"16,26";"9,64";"60,5";"18,88";"7,51";"31";"Sin incidencias"
"València";"Benavites";"Benavites";"3";"2018";"12,84";"16,3";"19,62";"26,22";"8,79";"5,9";"1,97";"59,39";"89,1";"87,08";"100";"32,76";"32,31";"13,5";"6,3";"14,85";"O";"53,93";"91,86";"2,96";"5,85";"1,32";"15,52";"9,66";"85,5";"16,77";"4,65";"31";"Sin incidencias"
"València";"Benifaió";"Benifaió";"3";"2018";"13,84";"20,61";"19,57";"28,86";"8,23";"8,66";"0,32";"51,43";"84,5";"77,64";"95,9";"35,38";"30,36";"15,43";"9,89";"19,32";"O";"49,64";"111,63";"3,6";"5,94";"1,71";"16,21";"9,83";"28,5";"17,22";"7,72";"31";"Sin incidencias"
"València";"Bolbaite";"Bolbaite";"3";"2018";"12,8";"19,42";"18,87";"27,36";"7,28";"7,12";"-0,94";"54,54";"78,4";"79,05";"98,5";"36,36";"32,91";"18,19";"6,61";"12,33";"O";"45,47";"89,9";"2,9";"4,45";"1,62";"14,64";"9,39";"15";"11,39";"3,17";"31";"Sin incidencias"
"València";"Bélgida";"Bélgida";"3";"2018";"13,25";"20,26";"18,93";"27,59";"7,08";"7,85";"-1,7";"50,02";"73,4";"72,69";"100";"34,06";"32,24";"19,08";"10,52";"19,58";"SO";"49";"107,23";"3,46";"5,12";"1,65";"13,7";"9,43";"42,5";"14,93";"3,78";"31";"Sin incidencias"
"València";"Bétera";"Bétera";"3";"2018";"12,78";"18,71";"19,32";"29,9";"8,7";"6,24";"1,6";"55,27";"84,5";"84,1";"97,4";"32,01";"30,34";"13,67";"5,79";"10,48";"O";"37,4";"91,25";"2,94";"4,91";"1,43";"16,3";"9,75";"89";"19,1";"7,44";"31";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"3";"2018";"13,88";"20,24";"21,27";"30,26";"8,11";"6,77";"-1,42";"58,54";"83,77";"87,68";"100";"42,37";"32,63";"18,76";"4,08";"8,53";"N";"29,84";"83,51";"2,69";"4,32";"1,33";"15,46";"9,53";"64,5";"14,3";"4,8";"31";"Sin incidencias"
"València";"Carlet";"Carlet CE Coop";"3";"2018";"14,2";"21,24";"19,98";"28,69";"8,16";"8,73";"-0,32";"51,88";"86,3";"77,92";"99,8";"34,97";"30,58";"15,16";"10,19";"21,83";"N";"64,19";"113,16";"3,65";"5,98";"1,87";"15,81";"9,72";"34";"11,9";"4,4";"31";"Sin incidencias"
"València";"Cheste";"Cheste";"3";"2018";"12,23";"20,88";"18,37";"28,55";"7,56";"6,45";"-0,26";"53,68";"87";"80,38";"99,2";"31,15";"33,04";"16,05";"5,18";"9,49";"O";"36,9";"83,74";"2,7";"4,62";"1,31";"15,66";"9,71";"66";"28,08";"10,81";"31";"Sin incidencias"
