"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"Castelló";"Burriana";"Burriana";"4";"2018";"14,69";"18,57";"21,44";"25,98";"10,42";"7,58";"2,5";"69,03";"87,9";"93,53";"97,3";"52,69";"42,45";"22,86";"2,63";"4,17";"N";"20,92";"89,02";"2,97";"3,8";"1,36";"18,43";"10,57";"36,5";"21,92";"10,35";"30";"Sin incidencias"
"Castelló";"Cabanes";"Ribera de Cabanes";"4";"2018";"15,48";"19,05";"20,54";"25,76";"10,9";"10,46";"6,91";"65,66";"85,7";"86,2";"96,8";"41,16";"44,81";"17,19";"4,67";"8,16";"O";"30,1";"102,25";"3,41";"4,62";"1,23";"20,18";"10,56";"0,5";"14,78";"4,9";"30";"Sin incidencias"
"Castelló";"Castelló de la Plana";"Castelló Benadresa";"4";"2018";"15,2";"18,89";"21,46";"26,6";"10,27";"9,25";"3,66";"64,01";"83,1";"86,88";"96,8";"39,69";"39,2";"21,79";"5,69";"11,34";"NO";"39,53";"105,9";"3,53";"5,12";"1,54";"19,05";"10,57";"14";"34,2";"15,8";"30";"Sin incidencias"
"Castelló";"La Vall d'Uixo";"Vall d'Uixó";"4";"2018";"15,71";"19,18";"21,92";"26,91";"10,97";"10,1";"6,4";"55,97";"81,7";"78,48";"94,5";"37,91";"34,17";"20,4";"4,05";"5,38";"NO";"37,91";"105,42";"3,51";"4,55";"1,5";"19,73";"10,66";"2";"17,36";"5,27";"30";"Sin incidencias"
"Castelló";"Nules";"Nules";"4";"2018";"15,43";"18,74";"21,66";"26,36";"10,92";"9,07";"4,72";"65,25";"86,5";"90,61";"100";"39,51";"39,32";"22,3";"3,59";"6,09";"N";"29,23";"95,96";"3,2";"4,39";"1,24";"18,63";"10,53";"14";"25,93";"13,27";"30";"Sin incidencias"
"Castelló";"Onda";"Onda";"4";"2018";"15,2";"19,03";"20,9";"25,86";"10,2";"9,6";"3,91";"59,45";"80,3";"83,11";"94,9";"37,91";"37,01";"20,86";"6,43";"11,4";"NO";"44,17";"110,97";"3,7";"4,94";"1,37";"19,69";"10,64";"14,5";"21,37";"11,37";"30";"Sin incidencias"
"Castelló";"San Rafael del Río";"San Rafael del Río";"4";"2018";"14,31";"18,45";"20,1";"25,99";"9,28";"8,69";"3,76";"67,3";"89,2";"91,6";"97,9";"48,69";"41,5";"19,11";"4,85";"10,68";"O";"33,84";"102,04";"3,4";"4,85";"0,9";"20,81";"10,34";"16,5";"38,22";"10,33";"30";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"4";"2018";"13,89";"17,18";"20,53";"27,15";"8,84";"6,8";"1,5";"60,57";"82,2";"89,61";"98,8";"40,21";"34,46";"22,31";"4,45";"7,66";"S";"33,62";"101,44";"3,38";"4,37";"1,13";"19,98";"10,84";"58";"19,21";"10,98";"30";"Sin incidencias"
"Castelló";"Vila-real";"Vila-real EEA";"4";"2018";"15,97";"19,6";"21,73";"26,53";"11,11";"10,29";"5,63";"61,32";"80,9";"84,65";"97,9";"38,95";"38,78";"21,47";"5,52";"10,21";"N";"37,33";"111,05";"3,7";"5,19";"1,3";"20,44";"10,4";"7,5";"29,7";"13";"30";"Sin incidencias"
"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
