"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"València";"Algemesí";"Algemesí";"12";"2017";"10,42";"16,76";"16,9";"21,96";"5,01";"4,74";"-0,86";"61,77";"80,8";"85,08";"95,2";"40,9";"36,86";"15,78";"4,39";"12,29";"SO";"38,7";"38,43";"1,24";"2,81";"0,66";"7,69";"6,95";"238,5";"7,27";"6,26";"31";"Sin incidencias"
"València";"Algimia de Alfara";"Algimia de Alfara";"12";"2017";"10,05";"15,9";"16,86";"23,9";"4,91";"2,91";"-1,55";"56,81";"79,07";"81,95";"94,8";"23,9";"33,61";"10,85";"4,94";"13,81";"O";"39,78";"41,48";"1,34";"2,94";"0,57";"8,39";"7,15";"239";"0";"0";"31";"Sin incidencias"
"València";"Benavites";"Benavites";"12";"2017";"10,13";"15,4";"17,35";"25,21";"6,6";"2,93";"0,14";"62,82";"86,4";"89,23";"99,4";"31,45";"38,13";"14,05";"4,35";"10,32";"O";"43,99";"38,83";"1,25";"2,68";"0,56";"7,11";"6,23";"264,5";"0,2";"0,2";"31";"Sin incidencias"
"València";"Benifaió";"Benifaió";"12";"2017";"10,5";"17,04";"16,61";"20,93";"4,9";"4,65";"-2,49";"59,89";"81,4";"82,58";"95";"38";"36,97";"16,64";"8,5";"20,76";"O";"52,74";"55,8";"1,8";"3,56";"0,71";"8,63";"7,3";"205,5";"2,97";"2,57";"31";"Sin incidencias"
"València";"Bolbaite";"Bolbaite";"12";"2017";"8,84";"15,35";"15,5";"19,49";"3,78";"2,74";"-2,96";"65,09";"85,3";"87,54";"97,9";"42,96";"40,54";"17,32";"5,57";"14,52";"NO";"54,54";"40,04";"1,29";"2,36";"0,73";"7,28";"6,5";"291";"9,31";"4,36";"31";"Sin incidencias"
"València";"Bélgida";"Bélgida";"12";"2017";"9,61";"15,68";"16,45";"20,43";"4,37";"3,42";"-3,96";"60,64";"81,7";"80,71";"98,7";"41,29";"37,87";"20,82";"6,26";"14,89";"SO";"47,56";"48,62";"1,57";"3,07";"0,69";"7,19";"6,7";"240";"11,54";"6,37";"31";"Sin incidencias"
"València";"Bétera";"Bétera";"12";"2017";"9,23";"15,01";"16,78";"23,16";"4,15";"2,27";"-3,13";"61,98";"81";"87,6";"96,8";"34,19";"34,97";"14,21";"4,21";"10,31";"O";"32,69";"36,5";"1,18";"2,32";"0,6";"8,15";"7,12";"289,5";"1,01";"0,6";"31";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"12";"2017";"10,17";"16,25";"17,63";"22,59";"4,9";"3,78";"-1,88";"66,77";"85";"90,67";"100";"47,16";"39,95";"19,03";"3,23";"7,1";"N";"39,28";"32,26";"1,04";"1,92";"0,65";"7,95";"6,89";"251,5";"12,1";"8,1";"31";"Sin incidencias"
"València";"Carlet";"Carlet CE Coop";"12";"2017";"10,32";"16,95";"16,82";"21,24";"4,3";"3,89";"-3,04";"62,5";"82,5";"86,21";"100";"36";"37,71";"16,24";"7,38";"22,85";"N";"74,34";"50,38";"1,63";"3,61";"0,76";"8,15";"7,1";"224,5";"0,7";"0,6";"31";"Sin incidencias"
"València";"Cheste";"Cheste";"12";"2017";"9,13";"15,09";"16,24";"21,29";"4,13";"2,65";"-3,4";"59,31";"80,6";"81,96";"97,5";"24,23";"35,89";"12,84";"3,82";"11,75";"NO";"41,51";"32,8";"1,06";"2,12";"0,47";"8,49";"7,2";"266,5";"1,82";"1,62";"31";"Sin incidencias"
