"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"Castelló";"Benicarló";"Benicarló";"7";"2018";"25,77";"28,26";"31,54";"35,63";"21,51";"19,8";"17,15";"75,33";"89";"98,31";"100";"51,82";"50,95";"24,02";"2,29";"3,09";"SE";"20,18";"155,95";"5,03";"5,98";"2,61";"25,17";"12,2";"0";"14,65";"12,87";"31";"Sin incidencias"
"Castelló";"Burriana";"Burriana";"7";"2018";"25,43";"26,73";"30,9";"35,91";"22,94";"19,34";"16,49";"71,38";"80,3";"94,11";"97,2";"57,05";"48,82";"21,85";"2,56";"4,03";"E";"16,58";"159,52";"5,15";"5,84";"2,82";"26,03";"12,49";"0";"2,76";"1,38";"31";"Sin incidencias"
"Castelló";"Cabanes";"Ribera de Cabanes";"7";"2018";"25,94";"28,13";"31,22";"36,56";"21,66";"20,63";"17,14";"69,33";"81";"87,51";"95,8";"50,22";"49,96";"19,82";"2,93";"3,93";"SO";"30,6";"162,43";"5,24";"5,78";"2,59";"25,79";"12,01";"0";"6,7";"6,29";"31";"Sin incidencias"
"Castelló";"Castelló de la Plana";"Castelló Benadresa";"7";"2018";"25,87";"27,42";"31,61";"35,58";"22,11";"20,21";"17,72";"64,98";"73,8";"86,62";"90,8";"47,35";"42,74";"18";"4,24";"6,36";"N";"27,11";"172,63";"5,57";"6,41";"2,6";"26,18";"12,62";"0";"4,8";"4,6";"31";"Sin incidencias"
"Castelló";"La Vall d'Uixo";"Vall d'Uixó";"7";"2018";"25,92";"27,83";"31,71";"36,06";"23,6";"20,32";"18,99";"62,37";"71,3";"82,06";"88,1";"38,4";"41,44";"15,39";"3,98";"5,08";"SE";"23,21";"172,84";"5,58";"6,77";"3,54";"26,28";"12,58";"0";"2,15";"1,95";"31";"Sin incidencias"
"Castelló";"Nules";"Nules";"7";"2018";"25,65";"27,52";"31,08";"36,34";"23,26";"19,71";"17,72";"78,14";"86,3";"99,3";"100";"55,71";"53,77";"24,49";"3,35";"4,24";"NE";"21,2";"163,36";"5,27";"6,4";"2,88";"26,24";"12,49";"0";"0";"0";"31";"Sin incidencias"
"Castelló";"Onda";"Onda";"7";"2018";"25,42";"27,36";"30,69";"35,21";"21,78";"19,83";"18,38";"62,64";"72,2";"84,64";"89,3";"42,64";"41,54";"18,28";"4,89";"7,89";"NE";"28,98";"173,53";"5,6";"7,43";"2,56";"26,05";"12,58";"0";"2,79";"2,19";"31";"Sin incidencias"
"Castelló";"San Rafael del Río";"San Rafael del Río";"7";"2018";"24,66";"26,32";"30,14";"32,12";"20,83";"19,09";"17,13";"73,75";"84,9";"97,07";"100";"51,09";"48,73";"27,92";"4,62";"11,59";"S";"41,36";"174,27";"5,62";"7,57";"3,34";"28,09";"12,24";"0";"16,32";"5,97";"31";"Sin incidencias"
"Castelló";"Segorbe";"Segorbe";"7";"2018";"24,55";"26,6";"31,26";"36,2";"22,54";"16,71";"14,28";"60,58";"73,3";"87,47";"96,2";"33,42";"36,42";"14,63";"5,12";"5,84";"SE";"27,97";"178,82";"5,77";"6,67";"3,41";"27,17";"12,63";"0";"0,8";"0,8";"31";"Sin incidencias"
"Castelló";"Vila-real";"Vila-real EEA";"7";"2018";"26,52";"28,7";"31,65";"36,24";"23,2";"20,87";"19,04";"64,47";"73,59";"86,03";"91,7";"44,48";"43,79";"19,86";"5,38";"6,78";"N";"25,89";"185,45";"5,98";"7,25";"2,91";"27,61";"12,29";"0";"2,4";"2,2";"31";"Sin incidencias"
"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
