"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"València";"Algemesí";"Algemesí";"7";"2018";"26,24";"28,83";"31,89";"37,42";"24,54";"20,73";"17,62";"69,73";"79,2";"91,7";"95,4";"39,11";"42,58";"17,04";"3,56";"5,09";"NE";"29,02";"178,98";"5,77";"7,47";"4,35";"28,25";"12,59";"0";"12,52";"12,32";"31";"Sin incidencias"
"València";"Algimia de Alfara";"Algimia de Alfara";"7";"2018";"25,21";"27,82";"31,2";"35,08";"23,91";"18,39";"16,06";"65";"75,6";"89,1";"93,9";"36,06";"40,91";"17,68";"3,84";"6,2";"E";"28,72";"174,73";"5,64";"7,02";"3,78";"27,73";"12,62";"0";"0,61";"0,61";"31";"Sin incidencias"
"València";"Benavites";"Benavites";"7";"2018";"24,77";"25,77";"29,4";"34,87";"23,48";"18,64";"14,34";"76,38";"83,6";"96,71";"99,2";"60,96";"54,38";"22,74";"3,62";"5,88";"E";"27,61";"157,99";"5,1";"6,5";"3,52";"25,98";"12,54";"0";"2,02";"1,41";"31";"Sin incidencias"
"València";"Benifaió";"Benifaió";"7";"2018";"26,13";"29,03";"31,43";"37,15";"24,87";"20,71";"17,83";"69,77";"78,3";"93,13";"97,8";"34,78";"43,39";"17,61";"5,32";"10,92";"NE";"35,75";"184,65";"5,96";"8,72";"4,76";"27,88";"12,55";"0";"5,85";"4,65";"31";"Sin incidencias"
"València";"Bolbaite";"Bolbaite";"7";"2018";"26,02";"28,83";"33,96";"39,41";"23,84";"18,43";"16,07";"60,46";"80,8";"89,52";"97,2";"29,92";"31,9";"15,02";"3,81";"7,43";"N";"27,5";"172,65";"5,57";"7,7";"3,05";"25,27";"11,84";"0";"8,51";"6,14";"31";"Sin incidencias"
"València";"Bélgida";"Bélgida";"7";"2018";"26,99";"29,25";"34,59";"40";"24,22";"19,72";"16,91";"60,94";"74,1";"92,81";"100";"28,72";"30,52";"16,32";"5,42";"7,75";"NE";"28,04";"185,26";"5,98";"7,53";"4,1";"24,82";"12,29";"0";"2,39";"2,19";"31";"Sin incidencias"
"València";"Bétera";"Bétera";"7";"2018";"25,57";"28,25";"31,51";"36,3";"24,32";"18,77";"16,59";"64,56";"74,3";"88,73";"94,1";"35,43";"40,37";"15,07";"4,08";"5,88";"E";"22,15";"174,46";"5,63";"7,08";"4,63";"27,12";"12,59";"0";"0,2";"0,2";"31";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"7";"2018";"27,9";"30,17";"35,68";"40,57";"26,24";"20,06";"16,91";"66,15";"79,48";"95,94";"99,2";"35,3";"34,98";"15,91";"4,52";"6,06";"N";"31,32";"190,62";"6,15";"7,65";"3,73";"26,94";"12,32";"0";"0,1";"0,1";"31";"Sin incidencias"
"València";"Carlet";"Carlet CE Coop";"7";"2018";"27,14";"29,86";"33,58";"39,38";"25,61";"20,57";"18,29";"66,81";"77,41";"92,31";"97,9";"30,88";"38,9";"14,79";"4,44";"9,34";"N";"34,45";"182,79";"5,9";"8,94";"4,48";"26,7";"12,27";"0";"13,5";"7,9";"31";"Sin incidencias"
"València";"Cheste";"Cheste";"7";"2018";"25,35";"28,41";"33,69";"38,67";"23,65";"16,72";"14,89";"60,48";"72,4";"90,65";"97,2";"29,81";"32,96";"12,41";"2,65";"4,23";"E";"22,97";"168,6";"5,44";"6,56";"3,88";"26,88";"12,5";"0";"0,2";"0,1";"31";"Sin incidencias"
"València";"Chulilla";"Chulilla";"7";"2018";"24,91";"27,6";"32,63";"36,88";"23,12";"17,2";"14,88";"58,92";"72,6";"89,79";"97,3";"31,88";"32,63";"14,54";"4,09";"5,95";"SE";"25,88";"182,12";"5,87";"7,08";"4,39";"28,03";"12,64";"0";"0";"0";"31";"Sin incidencias"
"València";"Gandía";"Gandia Marxuquera";"7";"2018";"26,82";"29,72";"33,25";"39,01";"24,36";"19,71";"18,13";"62,14";"78";"88,78";"97,1";"30,82";"38,32";"17,26";"3,25";"5,65";"NE";"23,07";"172,37";"5,56";"7,37";"2,56";"26,47";"12,35";"0";"0";"0";"31";"Sin incidencias"
"València";"Godelleta";"Godelleta";"7";"2018";"25,93";"28,45";"32,98";"38,28";"24,03";"18,78";"16,24";"61,05";"72,9";"88,45";"94,5";"29,72";"34,36";"13,18";"4,38";"8,77";"E";"32,11";"179,14";"5,78";"8,31";"4,07";"26,23";"12,49";"0";"0,2";"0,2";"31";"Sin incidencias"
"València";"Llutxent";"Llutxent EEA";"7";"2018";"26,66";"29,18";"32,91";"37,92";"23,91";"20,72";"19,56";"63,79";"79,13";"92,46";"97,8";"32,25";"36,41";"18,39";"7,67";"13,43";"N";"40,1";"199,45";"6,43";"9,74";"4,03";"26,73";"12,31";"0";"0";"0";"31";"Sin incidencias"
"València";"Llíria";"Llíria";"7";"2018";"25,53";"27,92";"32,57";"38,04";"23,7";"17,98";"15,31";"59,22";"71,4";"84,16";"91,2";"31,29";"34,45";"9,98";"4,25";"7,09";"E";"30,06";"182,3";"5,88";"7,5";"4,84";"27,66";"12,6";"0";"1,19";"1,19";"31";"Sin incidencias"
"València";"Moncada";"Moncada IVIA";"7";"2018";"26,56";"29,68";"32,03";"38,21";"25,39";"19,72";"17,29";"67,95";"76,71";"88,63";"93,7";"40,33";"46,55";"22,56";"5,38";"8,09";"N";"28,84";"186,7";"6,02";"8,09";"4,81";"28,2";"12,55";"0";"1,2";"1,2";"31";"Sin incidencias"
"València";"Montesa";"Montesa";"7";"2018";"26,59";"29,08";"34,41";"39,06";"23,92";"19,91";"17,9";"60,75";"79,8";"89,99";"96,7";"29,62";"30,98";"13,8";"2,69";"4,68";"NE";"23,67";"171,11";"5,52";"6,79";"2,8";"26,6";"11,91";"0";"8,51";"8,51";"31";"Sin incidencias"
"València";"Pedralba";"Pedralba";"7";"2018";"25,82";"28,52";"32,88";"38,75";"24,17";"19,22";"18,01";"58,84";"70,8";"86,42";"96,4";"29,87";"32,96";"11,67";"4,13";"7,51";"SE";"31,61";"179,12";"5,78";"7,87";"4,11";"26,66";"12,49";"0";"1,76";"1,57";"31";"Sin incidencias"
"València";"Picassent";"Picassent";"7";"2018";"25,88";"28,68";"31,6";"37,88";"24,55";"19,76";"17,92";"67,51";"76,7";"92,15";"96,4";"33,88";"41";"15,76";"3,85";"8,1";"E";"25,78";"176,41";"5,69";"8,2";"4,26";"27,44";"12,5";"0";"2,04";"1,02";"31";"Sin incidencias"
"València";"Polinyà de Xúquer";"Polinyà de Xúquer";"7";"2018";"25,63";"28,8";"31,02";"36,7";"23,21";"20,48";"16,72";"71,91";"80,9";"94,93";"100";"38,52";"43,18";"15,05";"6,15";"9,87";"NE";"67,97";"187,37";"6,04";"8,8";"4,39";"28,18";"12,58";"0";"18,91";"18,71";"31";"Sin incidencias"
"València";"Requena";"Campo Arcís";"7";"2018";"24,65";"26,37";"34,22";"37,56";"22,85";"14,97";"12,07";"52,45";"69,58";"85,84";"100";"35,52";"21,18";"10,61";"5,59";"8,1";"E";"33,08";"198,19";"6,39";"7,35";"5,31";"27,65";"12,74";"0";"0,3";"0,2";"31";"Sin incidencias"
"València";"Requena";"Requena Cerrito";"7";"2018";"25,25";"27,36";"34,41";"38,34";"22,75";"15,95";"13,33";"49,61";"70,63";"83,79";"100";"34,03";"20,21";"8,17";"4,87";"7,31";"N";"32,76";"197,61";"6,37";"7,3";"5,19";"29,01";"12,68";"0";"0,3";"0,3";"31";"Sin incidencias"
