"Provincia";"Termino";"Estación";"Mes";"Año";"Temp media de las medias";"Temp máxima de las medias";"Temp media de las máximas";"Temp máxima de las máximas";"Temp mínima de las medias";"Temp media de las mínimas";"Temp mínima de las mínimas";"Humedad relativa media de las medias";"Humedad relativa máxima de las medias";"Humedad relativa media de las máximas";"Humedad relativa máxima de las máximas";"Humedad relativa mínima de las medias";"Humedad relativa media de las mínimas";"Humedad relativa mínima de las mínimas";"Velocidad del viento media";"Velocidad del viento media máxima";"Dirección del viento media";"Racha máxima de las máximas";"ETo total";"ETo media";"ETo máxima";"ETo mínima";"Radiación media";"Horas sol medias";"Horas frío";"Precipitación total";"Precipitación máxima diaria";"Días con datos";"Estado"
"València";"Algemesí";"Algemesí";"4";"2018";"15,73";"19,58";"21,54";"29,79";"11,95";"10,18";"7,11";"62,49";"82,2";"88,61";"96,2";"39,84";"38,18";"23,7";"4,24";"10,66";"O";"41,08";"99,8";"3,33";"4,5";"1,46";"18,81";"10,65";"0";"14,95";"5,05";"30";"Sin incidencias"
"València";"Algimia de Alfara";"Algimia de Alfara";"4";"2018";"15,01";"18,16";"21,08";"25,72";"10,44";"8,51";"3,33";"60,28";"85,1";"86,03";"96,7";"41,12";"35,99";"22,79";"4,59";"9,94";"E";"35,42";"104,42";"3,48";"4,39";"1,3";"20,1";"10,79";"21";"33,69";"9,74";"30";"Sin incidencias"
"València";"Benavites";"Benavites";"4";"2018";"14,79";"17,58";"20,91";"26,48";"11,22";"8,02";"2,03";"69,17";"90,4";"95,31";"100";"47,65";"42,74";"23,52";"4,47";"9,11";"O";"37,62";"98,54";"3,28";"4,44";"1,41";"19,68";"10,72";"15";"17,37";"5,66";"30";"Sin incidencias"
"València";"Benifaió";"Benifaió";"4";"2018";"15,64";"18,81";"21,23";"28,67";"11,42";"10,12";"6,98";"62,15";"85,2";"86,65";"95,3";"39,85";"38,23";"25,7";"7,27";"20,66";"NO";"49,54";"116,15";"3,87";"5,73";"1,61";"20,6";"10,83";"0";"10,4";"5,25";"30";"Sin incidencias"
"València";"Bolbaite";"Bolbaite";"4";"2018";"14,35";"18,55";"21,07";"30,93";"9,01";"8,05";"3,1";"63,11";"88,9";"88,03";"96,7";"47,65";"38,04";"22,64";"5,42";"13,63";"NO";"39,82";"100,81";"3,36";"4,43";"0,89";"18,16";"10,18";"24";"29,1";"11,88";"30";"Sin incidencias"
"València";"Bélgida";"Bélgida";"4";"2018";"14,98";"19,47";"21,52";"29,83";"10,02";"8,95";"5,08";"60,33";"88,1";"84,72";"100";"40,43";"37,55";"24,54";"7";"19,04";"SE";"42,55";"108,71";"3,62";"5,19";"1";"17,6";"10,29";"9,5";"8,16";"4,38";"30";"Sin incidencias"
"València";"Bétera";"Bétera";"4";"2018";"14,91";"18,03";"21,42";"26,9";"11,14";"7,84";"3,2";"62,5";"81,1";"90,68";"96,8";"45,22";"36,02";"23,62";"4,81";"10,86";"SO";"34,42";"101,89";"3,4";"4,41";"1,45";"19,07";"10,82";"36,5";"16,28";"7,84";"30";"Sin incidencias"
"València";"Carcaixent";"Carcaixent EEA";"4";"2018";"16,17";"20,12";"23,51";"33,02";"11,54";"8,95";"3,91";"66,27";"87";"95,05";"100";"51,33";"39,09";"25,91";"3,85";"7,18";"N";"31,61";"102,77";"3,43";"4,63";"1,01";"19,33";"10,24";"10,5";"11,6";"4,3";"30";"Sin incidencias"
"València";"Carlet";"Carlet CE Coop";"4";"2018";"16,12";"20,23";"22,09";"31,09";"11,76";"10,1";"5,82";"61,62";"82,5";"87,31";"96,3";"41,45";"38,09";"25,96";"6,92";"22,58";"N";"68,69";"113,33";"3,78";"5,36";"1,4";"19,42";"10,45";"4";"9,3";"4,8";"30";"Sin incidencias"
"València";"Cheste";"Cheste";"4";"2018";"14,21";"19,19";"21,64";"31,48";"9,38";"7,1";"2,03";"61,38";"81,4";"89,41";"98,8";"45,68";"35,36";"24,19";"3,92";"15,62";"E";"45,97";"100,3";"3,34";"4,61";"1,45";"20,23";"10,83";"53,5";"16,26";"6,97";"30";"Sin incidencias"
